RFID Number,Category,Status,Condition,Location,User,QTY Washed,Washes Remaining,Assigned Location,Date Assigned,Date/Time
RFID001234567946,Fitted Sheet - Double,Disposed,Bad,Warehouse,Emma Davis,98,0,,2025-06-15,2025-10-08 14:00:00
RFID001234567947,Towels - Bath Towel,Damaged,Bad,Warehouse,Mike Chen,87,0,,2025-07-22,2025-10-08 13:30:00
RFID001234567948,Pillow Cases - Standard,Lost/Stolen,Unknown,Unknown,Sarah Johnson,31,69,Luxury Resort,2025-09-18,2025-10-04 11:00:00
RFID001234567949,Napkins,To be Stitched/Fix,Teared,Repair Station,John Smith,42,58,Hotel Grand Plaza,2025-09-25,2025-10-08 15:20:00
RFID001234567915,Fitted Sheet - Queen,Issued to Customer,Average,Cozy Bed & Breakfast,Sarah Johnson,36,64,Cozy Bed & Breakfast,2025-09-25,2025-09-25 14:40:00
RFID001234567916,Pillow Cases - Standard,Procured,Good,Warehouse,Mike Chen,0,100,Luxury Resort,2025-10-07,2025-10-07 08:30:00
RFID001234567917,Towels - Gym Towel,Damaged,Teared,Warehouse,Emma Davis,88,0,,2025-07-28,2025-10-08 09:10:00
RFID001234567918,Tablecloths - Large,Issued to Customer,Good,Trade Boutique Hotel,John Smith,22,78,Trade Boutique Hotel,2025-09-27,2025-09-27 12:15:00
RFID001234567919,Bath Mats,Procured,Good,Warehouse,Sarah Johnson,0,100,91 Loop Hostel,2025-10-08,2025-10-08 08:00:00
RFID001234567920,Flat Sheet - Double,Received Into Laundry,Good,Laundry Facility,Mike Chen,61,39,Hotel Grand Plaza,2025-09-08,2025-10-08 11:30:00
RFID001234567921,Napkins,Issued to Customer,Average,Luxury Resort,Emma Davis,74,26,Luxury Resort,2025-08-30,2025-08-30 10:20:00
RFID001234567922,Towels - Bath Towel,Issued to Customer,Good,Trade Boutique Hotel,John Smith,31,69,Trade Boutique Hotel,2025-09-19,2025-09-19 15:10:00
RFID001234567923,Duvet Covers - Single,Procured,Good,Warehouse,Sarah Johnson,0,100,Cozy Bed & Breakfast,2025-10-06,2025-10-06 09:30:00
RFID001234567924,Towels - Hand Towel,Received Into Laundry,Stained,Laundry Facility,Mike Chen,58,42,91 Loop Hostel,2025-09-03,2025-10-08 13:05:00
RFID001234567951,Tablecloths - Medium,Damaged,Teared,Warehouse,Emma Davis,76,0,,2025-08-05,2025-10-08 11:10:00
RFID001234567952,Bath Mats,Disposed,Bad,Warehouse,John Smith,93,0,,2025-07-10,2025-10-08 10:25:00
RFID001234567925,Flat Sheet - Single,Issued to Customer,Good,91 Loop Hostel,Emma Davis,11,89,91 Loop Hostel,2025-10-01,2025-10-01 11:50:00
RFID001234567926,Pillow Cases - Standard,Lost/Stolen,Unknown,Unknown,John Smith,25,75,Trade Boutique Hotel,2025-09-15,2025-10-05 14:00:00
RFID001234567927,Towels - Bath Towel,Procured,Good,Warehouse,Sarah Johnson,0,100,Hotel Grand Plaza,2025-10-08,2025-10-08 07:20:00
RFID001234567928,Tablecloths - Small,Issued to Customer,Good,Hotel Grand Plaza,Mike Chen,17,83,Hotel Grand Plaza,2025-09-29,2025-09-29 12:45:00
RFID001234567929,Bath Mats,Received Into Laundry,Average,Laundry Facility,Emma Davis,49,51,Luxury Resort,2025-09-11,2025-10-08 10:15:00
RFID001234567930,Fitted Sheet - Single,Issued to Customer,Good,Cozy Bed & Breakfast,John Smith,9,91,Cozy Bed & Breakfast,2025-10-03,2025-10-03 09:25:00
RFID001234567931,Napkins,Damaged,Bad,Warehouse,Sarah Johnson,92,0,,2025-07-20,2025-10-08 14:50:00
RFID001234567932,Towels - Bath Towel,Issued to Customer,Good,Trade Boutique Hotel,Mike Chen,38,62,Trade Boutique Hotel,2025-09-24,2025-09-24 11:15:00
RFID001234567933,Duvet Covers - Queen,Procured,Good,Warehouse,Emma Davis,0,100,91 Loop Hostel,2025-10-07,2025-10-07 08:45:00
RFID001234567934,Towels - Hand Towel,To be Stitched/Fix,Stained,Repair Station,John Smith,66,34,Hotel Grand Plaza,2025-09-06,2025-10-08 12:40:00
RFID001234567950,Duvet Inner - Single,Lost/Stolen,Unknown,Unknown,Sarah Johnson,18,82,Cozy Bed & Breakfast,2025-09-22,2025-10-06 09:30:00
RFID001234567935,Flat Sheet - Queen,Issued to Customer,Average,Luxury Resort,Sarah Johnson,20,80,Luxury Resort,2025-09-26,2025-09-26 13:55:00
RFID001234567936,Pillow Cases - Standard,Procured,Good,Warehouse,Mike Chen,0,100,Trade Boutique Hotel,2025-10-08,2025-10-08 08:10:00
RFID001234567937,Towels - Pool Towel,Issued to Customer,Stained,Cozy Bed & Breakfast,Emma Davis,83,17,Cozy Bed & Breakfast,2025-08-15,2025-08-15 10:35:00
RFID001234567938,Tablecloths - Large,Received Into Laundry,Good,Laundry Facility,John Smith,54,46,Trade Boutique Hotel,2025-09-09,2025-10-08 09:50:00
RFID001234567939,Bath Mats,Issued to Customer,Good,91 Loop Hostel,Sarah Johnson,27,73,91 Loop Hostel,2025-09-21,2025-09-21 14:20:00
RFID001234567953,Curtain,Received Into Laundry,Good,Laundry Facility,Mike Chen,3,97,Hotel Grand Plaza,2025-10-07,2025-10-08 08:25:00
RFID001234567954,Spa Gown,External Laundry,Good,External Laundry,Emma Davis,12,88,Luxury Resort,2025-10-05,2025-10-07 15:40:00
RFID001234567955,Duvet Inner - King,Received Into Laundry,Average,Laundry Facility,John Smith,5,95,Trade Boutique Hotel,2025-10-06,2025-10-08 11:10:00
RFID001234567956,Waiter Aprons,Procured,Good,Warehouse,Sarah Johnson,0,100,Trade Boutique Hotel,2025-10-08,2025-10-08 07:55:00
RFID001234567957,Chefs Jackets,Issued to Customer,Good,Hotel Grand Plaza,Mike Chen,23,77,Hotel Grand Plaza,2025-09-28,2025-09-28 10:30:00
RFID001234567958,Kitchen Cloths,Received Into Laundry,Average,Laundry Facility,Emma Davis,67,33,Trade Boutique Hotel,2025-09-14,2025-10-08 13:15:00
RFID001234567959,Blanket,Procured,Good,Warehouse,John Smith,0,100,91 Loop Hostel,2025-10-07,2025-10-07 09:05:00
RFID001234567960,Towels - Bath Sheet,Issued to Customer,Good,Luxury Resort,Sarah Johnson,19,81,Luxury Resort,2025-09-29,2025-09-29 11:40:00

